tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	0.381633
0.012472	phone	sp	0.381633
0.381633	phone	AO2	0.421542
0.381633	word	ALRIGHT	0.660998
0.421542	phone	L	0.451474
0.451474	phone	R	0.521315
0.521315	phone	AY1	0.631066
0.631066	phone	T	0.660998
0.660998	phone	TH	0.690930
0.660998	word	THANK	0.910431
0.690930	phone	AE1	0.770748
0.770748	phone	NG	0.860544
0.860544	phone	K	0.910431
0.910431	phone	Y	0.980272
0.910431	word	YOU	1.010204
0.980272	phone	UW1	1.010204
1.010204	phone	V	1.060091
1.010204	word	VERY	1.249660
1.060091	phone	EH1	1.090023
1.090023	phone	R	1.199773
1.199773	phone	IY0	1.249660
1.249660	phone	M	1.339456
1.249660	word	MUCH	1.628798
1.339456	phone	AH1	1.409297
1.409297	phone	CH	1.628798
1.628798	phone	sp	2.566667
1.628798	word	sp	2.566667
2.566667	phone	AO2	2.596599
2.566667	word	ALRIGHT	2.915873
2.596599	phone	L	2.656463
2.656463	phone	R	2.726304
2.726304	phone	AY1	2.875964
2.875964	phone	T	2.915873
2.915873	phone	sp	3.275057
2.915873	word	sp	3.275057
3.275057	phone	DH	3.334921
3.275057	word	THIS	3.494558
3.334921	phone	AH0	3.364853
3.364853	phone	S	3.494558
3.494558	phone	AH0	3.534467
3.494558	word	IS	3.634240
3.534467	phone	Z	3.634240
3.634240	phone	M	3.724036
3.634240	word	MY	3.823810
3.724036	phone	AY1	3.823810
3.823810	phone	S	3.993424
3.823810	word	STORY	4.302721
3.993424	phone	T	4.033333
4.033333	phone	AO1	4.192971
4.192971	phone	R	4.232880
4.232880	phone	IY0	4.302721
4.302721	word	sp	5.599773
4.302721	phone	sp	5.599773
5.599773	word	I	5.629705
5.599773	phone	AY1	5.629705
5.629705	phone	W	5.659637
5.629705	word	WAS	5.759174
5.659637	phone	AH0	5.689569
5.689569	phone	Z	5.759410
5.759174	word	DATING	5.968934
5.759410	phone	D	5.789342
5.789342	phone	EY1	5.879138
5.879138	phone	T	5.909070
5.909070	phone	IH0	5.939002
5.939002	phone	NG	5.968934
5.968934	phone	DH	5.998866
5.968934	word	THIS	6.128571
5.998866	phone	AH0	6.028798
6.028798	phone	S	6.128571
6.128571	phone	G	6.198413
6.128571	word	GIRL	6.387982
6.198413	phone	ER1	6.308163
6.308163	phone	L	6.387982
6.387982	phone	L	6.467800
6.387982	word	LIKE	6.677324
6.467800	phone	AY1	6.547619
6.547619	phone	K	6.677324
6.677324	word	UH	6.886848
6.677324	phone	AH1	6.886848
6.886848	phone	L	6.936735
6.886848	word	LIKE	7.026531
6.936735	phone	AY1	6.976644
6.976644	phone	K	7.026531
7.026531	word	sp	7.036508
7.026531	phone	sp	7.036508
7.036508	phone	T	7.106349
7.036508	word	TWO	7.166213
7.106349	phone	UW1	7.166213
7.166213	phone	Y	7.256009
7.166213	word	YEARS	7.445578
7.256009	phone	IH1	7.315873
7.315873	phone	R	7.345805
7.345805	phone	Z	7.445578
7.445578	phone	AH0	7.485488
7.445578	word	AGO	7.665079
7.485488	phone	G	7.565306
7.565306	phone	OW1	7.665079
7.665079	word	sp	8.473243
7.665079	phone	sp	8.473243
8.473243	phone	B	8.503175
8.473243	word	BEEN	8.563039
8.503175	phone	AH0	8.533107
8.533107	phone	N	8.563039
8.563039	phone	D	8.592971
8.563039	word	DATING	8.842404
8.592971	phone	EY1	8.622902
8.622902	phone	T	8.712698
8.712698	phone	IH0	8.772562
8.772562	phone	NG	8.842404
8.842404	phone	HH	8.882313
8.842404	word	HER	8.912245
8.882313	phone	ER0	8.912245
8.912245	phone	F	8.942177
8.912245	word	FOR	8.972109
8.942177	phone	ER0	8.972109
8.972109	phone	L	9.041950
8.972109	word	LIKE	9.171655
9.041950	phone	AY1	9.081859
9.081859	phone	K	9.171655
9.171655	phone	EY1	9.271429
9.171655	word	EIGHT	9.311338
9.271429	phone	T	9.311338
9.311338	phone	M	9.381179
9.311338	word	MONTHS	9.600680
9.381179	phone	AH1	9.451020
9.451020	phone	N	9.480952
9.480952	phone	TH	9.510884
9.510884	phone	S	9.600680
9.600680	phone	AH0	9.630612
9.600680	word	AND	9.690476
9.630612	phone	N	9.660544
9.660544	phone	D	9.690476
9.690476	phone	SH	9.780272
9.690476	word	SHE	9.810204
9.780272	phone	IY1	9.810204
9.810204	phone	W	9.919955
9.810204	word	WANTED	10.069615
9.919955	phone	AO1	9.959864
9.959864	phone	N	9.999773
9.999773	phone	AH0	10.029705
10.029705	phone	D	10.069615
