tmin	tier	text	tmax
0.012472	phone	sp	0.022449
0.012472	word	sp	0.022449
0.022449	phone	DH	0.092290
0.022449	word	THERE'RE	0.221995
0.092290	phone	EH1	0.152154
0.152154	phone	R	0.182086
0.182086	phone	ER0	0.221995
0.221995	phone	S	0.341723
0.221995	word	SOME	0.461451
0.341723	phone	AH1	0.381633
0.381633	phone	M	0.461451
0.461451	phone	S	0.591156
0.461451	word	SCIENTISTS	1.159864
0.591156	phone	AY1	0.760771
0.760771	phone	AH0	0.790703
0.790703	phone	N	0.830612
0.830612	phone	T	0.910431
0.910431	phone	AH0	0.970295
0.970295	phone	S	1.060091
1.060091	phone	S	1.159864
1.159864	phone	HH	1.189796
1.159864	word	WHO	1.219728
1.189796	phone	UW1	1.219728
1.219728	phone	S	1.379365
1.219728	word	SAY	1.708617
1.379365	phone	EY1	1.708617
1.708617	phone	DH	1.778458
1.708617	word	THAT	1.958050
1.778458	phone	AE1	1.858277
1.858277	phone	T	1.958050
1.958050	phone	DH	1.987982
1.958050	word	THE	2.037868
1.987982	phone	IY0	2.037868
2.037868	phone	Y	2.147619
2.037868	word	UNIVERSE	2.716327
2.147619	phone	UW1	2.197506
2.197506	phone	N	2.247392
2.247392	phone	IH0	2.277324
2.277324	phone	V	2.357143
2.357143	phone	ER2	2.496825
2.496825	phone	S	2.716327
2.716327	phone	DH	2.766213
2.716327	word	THAT	2.846032
2.766213	phone	AH0	2.806122
2.806122	phone	T	2.846032
2.846032	phone	W	2.935828
2.846032	word	WE	3.015646
2.935828	phone	IY1	3.015646
3.015646	phone	IH2	3.065533
3.015646	word	INHABIT	3.524490
3.065533	phone	N	3.125397
3.125397	phone	HH	3.255102
3.255102	phone	AE1	3.344898
3.344898	phone	B	3.394785
3.394785	phone	AH0	3.444671
3.444671	phone	T	3.524490
3.524490	phone	sp	3.629777
3.524490	word	sp	3.629777
3.629777	phone	br 	3.943537
3.629777	word	{BR}	3.943537
3.943537	phone	sp	3.973469
3.943537	word	sp	3.973469
3.973469	phone	IH1	4.063265
3.973469	word	IS	4.163039
4.063265	phone	Z	4.163039
4.163039	phone	N	4.222902
4.163039	word	NOT	4.442404
4.222902	phone	AA1	4.382540
4.382540	phone	T	4.442404
4.442404	phone	DH	4.472336
4.442404	word	THE	4.582086
4.472336	phone	IY0	4.582086
4.582086	phone	OW1	4.741723
4.582086	word	ONLY	4.901361
4.741723	phone	N	4.821542
4.821542	phone	L	4.851474
4.851474	phone	IY0	4.901361
4.901361	phone	Y	4.991156
4.901361	word	UNIVERSE	5.509977
4.991156	phone	UW1	5.041043
5.041043	phone	N	5.090930
5.090930	phone	IH0	5.130839
5.130839	phone	V	5.220635
5.220635	phone	ER2	5.370295
