tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	1.938095
0.012472	phone	sp	1.938095
1.938095	phone	S	2.107710
1.938095	word	SO	2.417007
2.107710	phone	OW1	2.417007
2.417007	word	sp	5.100907
2.417007	phone	sp	5.100907
5.100907	phone	EH1	5.150794
5.100907	word	AS	5.220635
5.150794	phone	Z	5.220635
5.220635	phone	AY1	5.270522
5.220635	word	I	5.270522
5.270522	phone	S	5.470068
5.270522	word	SIT	5.639683
5.470068	phone	IH1	5.559864
5.559864	phone	T	5.639683
5.639683	phone	D	5.719501
5.639683	word	DOWN	6.218367
5.719501	phone	AW1	6.128571
6.128571	phone	N	6.218367
6.218367	phone	T	6.328118
6.218367	word	TO	6.417914
6.328118	phone	UW1	6.417914
6.417914	phone	IY1	6.587528
6.417914	word	EAT	6.637415
6.587528	phone	T	6.637415
6.637415	phone	F	6.667347
6.637415	word	FROM	6.777098
6.667347	phone	ER0	6.707256
6.707256	phone	M	6.777098
6.777098	phone	DH	6.817007
6.777098	word	THIS	7.076417
6.817007	phone	AH0	6.866893
6.866893	phone	S	7.076417
7.076417	phone	S	7.146259
7.076417	word	SPREAD	7.455556
7.146259	phone	P	7.176190
7.176190	phone	R	7.265986
7.265986	phone	EH1	7.415646
7.415646	phone	D	7.455556
7.455556	phone	DH	7.515420
7.455556	word	THAT	7.595238
7.515420	phone	AE1	7.555329
7.555329	phone	T	7.595238
7.595238	phone	HH	7.625170
7.595238	word	HAS	7.734921
7.625170	phone	AH0	7.655102
7.655102	phone	Z	7.734921
7.734921	phone	B	7.764853
7.734921	word	BEEN	7.904535
7.764853	phone	IH1	7.834694
7.834694	phone	N	7.904535
7.904535	phone	G	7.974376
7.904535	word	GIVEN	8.153968
7.974376	phone	IH1	8.024263
8.024263	phone	V	8.074150
8.074150	phone	AH0	8.104082
8.104082	phone	N	8.153968
8.153968	phone	AH0	8.183900
8.153968	word	IN	8.213832
8.183900	phone	N	8.213832
8.213832	phone	M	8.323583
8.213832	word	MY	8.488845
8.323583	phone	AY1	8.488845
8.488845	phone	AA1	8.702721
8.488845	word	HONOR	8.992063
8.702721	phone	N	8.772562
8.772562	phone	ER0	8.992063
8.992063	phone	sp	10.518594
8.992063	word	sp	10.518594
10.518594	phone	AY1	10.608390
10.518594	word	I	10.608390
10.608390	phone	K	10.787982
10.608390	word	CAN'T	10.987528
10.787982	phone	AE1	10.897732
10.897732	phone	N	10.957596
10.957596	phone	T	10.987528
10.987528	phone	HH	11.047392
10.987528	word	HELP	11.217007
11.047392	phone	EH1	11.077324
11.077324	phone	L	11.187075
11.187075	phone	P	11.217007
11.217007	phone	B	11.306803
11.217007	word	BUT	11.396599
11.306803	phone	AH1	11.346712
11.346712	phone	T	11.396599
11.396599	phone	T	11.446485
11.396599	word	TO	11.486395
11.446485	phone	UW1	11.486395
11.486395	phone	EH1	11.516327
11.486395	word	F	11.636054
11.516327	phone	F	11.636054
11.636054	phone	sp	12.184807
11.636054	word	sp	12.184807
12.184807	phone	N	12.334467
12.184807	word	NOTICE	12.733560
12.334467	phone	OW1	12.484127
12.484127	phone	T	12.524036
12.524036	phone	AH0	12.583900
12.583900	phone	S	12.733560
12.733560	phone	DH	12.763492
12.733560	word	THE	12.803401
12.763492	phone	AH0	12.803401
12.803401	phone	T	12.953061
12.803401	word	TWO	13.042857
12.953061	phone	UW1	13.042857
13.042857	phone	F	13.192517
13.042857	word	FEELINGS	13.561678
13.192517	phone	IY1	13.322222
13.322222	phone	L	13.362132
13.362132	phone	IH0	13.402041
13.402041	phone	NG	13.461905
13.461905	phone	Z	13.561678
13.561678	phone	DH	13.591610
13.561678	word	THAT	13.681406
13.591610	phone	AE1	13.651474
13.651474	phone	T	13.681406
13.681406	phone	AY1	13.721315
13.681406	word	I'M	13.831066
13.721315	phone	M	13.831066
13.831066	phone	HH	13.980726
13.831066	word	HAVING	14.230159
13.980726	phone	AE1	14.050567
14.050567	phone	V	14.140363
14.140363	phone	IH0	14.200227
14.200227	phone	NG	14.230159
14.230159	word	sp	14.898639
14.230159	phone	sp	14.898639
14.898639	phone	HH	15.068254
14.898639	word	ONE	15.457370
15.068254	phone	W	15.158050
15.158050	phone	AH1	15.367574
15.367574	phone	N	15.457370
15.457370	word	sp	15.666893
15.457370	phone	sp	15.666893
15.666893	phone	AY1	15.726757
15.666893	word	I'M	15.787885
15.726757	phone	M	15.787885
15.787885	word	A	15.868449
15.787885	phone	AH0	15.868449
15.868449	phone	L	15.976190
15.868449	word	LITTLE	16.185714
