tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	0.221995
0.012472	phone	sp	0.221995
0.221995	phone	M	0.291837
0.221995	word	MORE	0.391610
0.291837	phone	AO1	0.361678
0.361678	phone	R	0.391610
0.391610	phone	DH	0.451474
0.391610	word	THAN	0.541270
0.451474	phone	AE1	0.481406
0.481406	phone	N	0.541270
0.541270	phone	EY1	0.601134
0.541270	word	A	0.601134
0.601134	phone	D	0.680952
0.601134	word	DECADE	1.000227
0.680952	phone	EH1	0.770748
0.770748	phone	K	0.900454
0.900454	phone	EY0	0.970295
0.970295	phone	D	1.000227
1.000227	phone	AH0	1.030159
1.000227	word	AGO	1.379365
1.030159	phone	G	1.189796
1.189796	phone	OW1	1.379365
1.379365	word	sp	2.666440
1.379365	phone	sp	2.666440
2.666440	phone	W	2.726304
2.666440	word	WHEN	2.786168
2.726304	phone	EH1	2.756236
2.756236	phone	N	2.786168
2.786168	phone	AY1	2.816100
2.786168	word	I	2.816100
2.816100	phone	W	2.846032
2.816100	word	WAS	2.945805
2.846032	phone	AH0	2.875964
2.875964	phone	Z	2.945805
2.945805	phone	G	2.985714
2.945805	word	GROWING	3.195238
2.985714	phone	R	3.085488
3.085488	phone	OW1	3.115420
3.115420	phone	IH0	3.155329
3.155329	phone	NG	3.195238
3.195238	phone	AH1	3.265079
3.195238	word	UP	3.324943
3.265079	phone	P	3.324943
3.324943	phone	AH0	3.354875
3.324943	word	IN	3.414739
3.354875	phone	N	3.414739
3.414739	phone	F	3.534467
3.414739	word	FINLAND	4.013379
3.534467	phone	IH1	3.594331
3.594331	phone	N	3.664172
3.664172	phone	L	3.753968
3.753968	phone	AH0	3.783900
3.783900	phone	N	3.973469
3.973469	phone	D	4.013379
4.013379	phone	sp	4.342630
4.013379	word	sp	4.342630
4.342630	phone	M	4.442404
4.342630	word	MY	4.532200
4.442404	phone	AY1	4.532200
4.532200	phone	M	4.621995
4.532200	word	MODEL	4.831519
4.621995	phone	AA1	4.711791
4.711791	phone	D	4.741723
4.741723	phone	AH0	4.771655
4.771655	phone	L	4.831519
4.831519	phone	AH1	4.881406
4.831519	word	OF	4.911338
4.881406	phone	V	4.911338
4.911338	phone	AH0	4.941270
4.911338	word	AN	4.981179
4.941270	phone	N	4.981179
4.981179	phone	AH0	5.031066
4.981179	word	ATTRACTIVE	5.490023
5.031066	phone	T	5.140816
5.140816	phone	R	5.190703
5.190703	phone	AE1	5.280499
5.280499	phone	K	5.370295
5.370295	phone	T	5.400227
5.400227	phone	IH0	5.440136
5.440136	phone	V	5.490023
5.490023	phone	W	5.609751
5.490023	word	WOMAN	5.819274
5.609751	phone	UH1	5.639683
5.639683	phone	M	5.709524
5.709524	phone	AH0	5.739456
5.739456	phone	N	5.819274
5.819274	phone	W	5.929025
5.819274	word	WAS	6.148526
5.929025	phone	AH1	5.978912
5.978912	phone	Z	6.148526
6.148526	phone	P	6.188435
6.148526	word	PAMELA	6.467800
6.188435	phone	AE1	6.268254
6.268254	phone	M	6.298186
6.298186	phone	AH0	6.328118
6.328118	phone	L	6.437868
6.437868	phone	AH0	6.467800
6.467800	phone	AE1	6.557596
6.467800	word	ANDERSON	6.976644
6.557596	phone	N	6.587528
6.587528	phone	D	6.617460
6.617460	phone	ER0	6.657370
6.657370	phone	S	6.777098
6.777098	phone	AH0	6.826984
6.826984	phone	N	6.976644
6.976644	phone	F	7.056463
6.976644	word	FROM	7.236054
7.056463	phone	R	7.116327
7.116327	phone	AH1	7.146259
7.146259	phone	M	7.236054
7.236054	phone	B	7.295918
7.236054	word	BAYWATCH	7.924490
7.295918	phone	EY1	7.395692
7.395692	phone	W	7.535374
7.535374	phone	AA0	7.635147
7.635147	phone	CH	7.924490
7.924490	word	sp	8.812472
7.924490	phone	sp	8.812472
8.812472	phone	SH	8.922222
8.812472	word	SHE	8.952154
8.922222	phone	IY1	8.952154
8.952154	phone	W	8.982086
8.952154	word	WAS	9.041950
8.982086	phone	AH0	9.012018
9.012018	phone	Z	9.041950
9.041950	phone	M	9.091837
9.041950	word	MY	9.161678
9.091837	phone	AY1	9.161678
9.161678	phone	F	9.241497
9.161678	word	FATHER'S	9.530839
9.241497	phone	AA1	9.371202
9.371202	phone	DH	9.411111
9.411111	phone	ER0	9.480952
9.480952	phone	Z	9.530839
9.530839	phone	F	9.580726
9.530839	word	FAVORITE	9.860091
9.580726	phone	EY1	9.670522
9.670522	phone	V	9.710431
9.710431	phone	R	9.780272
9.780272	phone	AH0	9.810204
9.810204	phone	T	9.860091
