tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	0.990249
0.012472	phone	sp	0.990249
0.990249	phone	IH0	1.060091
0.990249	word	IGOR	1.618821
1.060091	phone	G	1.249660
1.249660	phone	AO1	1.539002
1.539002	phone	R	1.618821
1.618821	phone	W	1.708617
1.618821	word	WAS	1.848299
1.708617	phone	AH0	1.748526
1.748526	phone	Z	1.848299
1.848299	phone	M	1.918141
1.848299	word	MY	2.017914
1.918141	phone	AY1	2.017914
2.017914	phone	R	2.147619
2.017914	word	RUSSIAN	2.496825
2.147619	phone	AH1	2.217460
2.217460	phone	SH	2.357143
2.357143	phone	AH0	2.397052
2.397052	phone	N	2.496825
2.496825	phone	AH1	2.636508
2.496825	word	UNCLE	3.015646
2.636508	phone	NG	2.796145
2.796145	phone	K	2.905896
2.905896	phone	AH0	2.945805
2.945805	phone	L	3.015646
3.015646	phone	sp	4.392517
3.015646	word	sp	4.392517
4.392517	phone	HH	4.452381
4.392517	word	HE	4.532200
4.452381	phone	IY1	4.532200
4.532200	phone	W	4.602041
4.532200	word	WASN'T	4.851474
4.602041	phone	AA1	4.671882
4.671882	phone	Z	4.761678
4.761678	phone	AH0	4.791610
4.791610	phone	N	4.821542
4.821542	phone	T	4.851474
4.851474	phone	R	4.951247
4.851474	word	REALLY	5.130839
4.951247	phone	IY1	5.051020
5.051020	phone	L	5.080952
5.080952	phone	IY0	5.130839
5.130839	phone	M	5.230612
5.130839	word	MY	5.350340
5.230612	phone	AY1	5.350340
5.350340	phone	AH1	5.500000
5.350340	word	UNCLE	5.839229
5.500000	phone	NG	5.569841
5.569841	phone	K	5.679592
5.679592	phone	AH0	5.709524
5.709524	phone	L	5.839229
5.839229	word	sp	6.218367
5.839229	phone	sp	6.218367
6.218367	phone	B	6.268254
6.218367	word	BUT	6.328118
6.268254	phone	AH1	6.298186
6.298186	phone	T	6.328118
6.328118	word	I	6.378005
6.328118	phone	AY1	6.378005
6.378005	phone	K	6.547619
6.378005	word	CALLED	6.727211
6.547619	phone	AO1	6.647392
6.647392	phone	L	6.697279
6.697279	phone	D	6.727211
6.727211	phone	IH2	6.757143
6.727211	word	HIM	6.846939
6.757143	phone	M	6.846939
6.846939	phone	AH1	6.936735
6.846939	word	UNCLE	7.176190
6.936735	phone	NG	7.036508
7.036508	phone	K	7.106349
7.106349	phone	AH0	7.136281
7.136281	phone	L	7.176190
7.176190	phone	B	7.226077
7.176190	word	BECAUSE	7.555329
7.226077	phone	IH0	7.256009
7.256009	phone	K	7.405669
7.405669	phone	AH1	7.455556
7.455556	phone	Z	7.555329
7.555329	phone	L	7.615193
7.555329	word	LIKE	7.754875
7.615193	phone	AY1	7.655102
7.655102	phone	K	7.754875
7.754875	phone	M	7.814739
7.754875	word	MANY	8.034240
7.814739	phone	EH1	7.874603
7.874603	phone	N	7.914512
7.914512	phone	IY0	8.034240
8.034240	phone	AH0	8.064172
8.034240	word	A	8.064172
8.064172	phone	CH	8.323583
8.064172	word	CHILD	8.702721
8.323583	phone	AY1	8.543084
8.543084	phone	L	8.672789
8.672789	phone	D	8.702721
8.702721	phone	AY1	8.792517
8.702721	word	I'D	8.832426
8.792517	phone	D	8.832426
8.832426	phone	F	8.912245
8.832426	word	FOUND	9.121769
8.912245	phone	AW1	9.061905
9.061905	phone	N	9.091837
9.091837	phone	D	9.121769
9.121769	phone	S	9.271429
9.121769	word	SOMEBODY	9.580726
9.271429	phone	AH1	9.301361
9.301361	phone	M	9.351247
9.351247	phone	B	9.401134
9.401134	phone	AA2	9.460998
9.460998	phone	D	9.490930
9.490930	phone	IY0	9.580726
9.580726	word	sp	9.890023
9.580726	phone	sp	9.890023
9.890023	phone	AW1	10.049660
9.890023	word	OUTSIDE	10.538549
10.049660	phone	T	10.099546
10.099546	phone	S	10.279138
10.279138	phone	AY1	10.498639
10.498639	phone	D	10.538549
10.538549	phone	AH0	10.578458
10.538549	word	OF	10.628345
10.578458	phone	V	10.628345
10.628345	phone	M	10.698186
10.628345	word	MY	10.817914
10.698186	phone	AY1	10.817914
10.817914	phone	F	11.037415
10.817914	word	FAMILY	11.705896
11.037415	phone	AE1	11.246939
11.246939	phone	M	11.366667
11.366667	phone	L	11.456463
11.456463	phone	IY0	11.705896
11.705896	word	sp	13.012925
11.705896	phone	sp	13.012925
13.012925	phone	HH	13.112698
13.012925	word	WHO	13.362132
13.112698	phone	UW1	13.362132
13.362132	word	I	13.481859
13.362132	phone	AY1	13.481859
13.481859	phone	TH	13.621542
