tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	0.361678
0.012472	phone	sp	0.361678
0.361678	phone	IH1	0.481406
0.361678	word	IT'S	0.651020
0.481406	phone	T	0.581179
0.581179	phone	S	0.651020
0.651020	phone	T	0.700907
0.651020	word	TEN	0.900454
0.700907	phone	EH1	0.840590
0.840590	phone	N	0.900454
0.900454	phone	EY1	1.020181
0.900454	word	AM	1.349433
1.020181	phone	EH1	1.159864
1.159864	phone	M	1.349433
1.349433	phone	sp	2.137642
1.349433	word	sp	2.137642
2.137642	phone	AH0	2.217460
2.137642	word	A	2.217460
2.217460	phone	S	2.327211
2.217460	word	SIREN	2.636508
2.327211	phone	AY1	2.466893
2.466893	phone	R	2.566667
2.566667	phone	AH0	2.596599
2.596599	phone	N	2.636508
2.636508	phone	IH1	2.716327
2.636508	word	IS	2.746259
2.716327	phone	Z	2.746259
2.746259	phone	HH	2.865986
2.746259	word	HEARD	3.045578
2.865986	phone	ER1	2.995692
2.995692	phone	D	3.045578
3.045578	phone	AH0	3.075510
3.045578	word	ACROSS	3.484580
3.075510	phone	K	3.185261
3.185261	phone	R	3.314966
3.314966	phone	AO1	3.344898
3.344898	phone	S	3.484580
3.484580	phone	DH	3.524490
3.484580	word	THE	3.554422
3.524490	phone	AH0	3.554422
3.554422	phone	K	3.684127
3.554422	word	COUNTRY	4.083220
3.684127	phone	AH1	3.753968
3.753968	phone	N	3.823810
3.823810	phone	T	3.893651
3.893651	phone	R	3.953515
3.953515	phone	IY0	4.083220
4.083220	word	sp	4.771655
4.083220	phone	sp	4.771655
4.771655	phone	EH1	4.861451
4.771655	word	EVERYBODY	5.270522
4.861451	phone	V	4.931293
4.931293	phone	R	4.981179
4.981179	phone	IY0	5.031066
5.031066	phone	B	5.100907
5.100907	phone	AA2	5.150794
5.150794	phone	D	5.230612
5.230612	phone	IY0	5.270522
5.270522	phone	S	5.440136
5.270522	word	STOPS	5.739456
5.440136	phone	T	5.490023
5.490023	phone	AA1	5.559864
5.559864	phone	P	5.629705
5.629705	phone	S	5.739456
5.739456	phone	EH1	5.789342
5.739456	word	EVERYTHING	6.487755
5.789342	phone	V	5.859184
5.859184	phone	R	5.929025
5.929025	phone	IY0	5.968934
5.968934	phone	TH	6.078685
6.078685	phone	IH2	6.118594
6.118594	phone	NG	6.487755
6.487755	phone	AE1	6.567574
6.487755	word	AND	6.667347
6.567574	phone	N	6.637415
6.637415	phone	D	6.667347
6.667347	phone	S	6.777098
6.667347	word	STANDS	7.086395
6.777098	phone	T	6.826984
6.826984	phone	AE1	6.916780
6.916780	phone	N	6.976644
6.976644	phone	D	7.036508
7.036508	phone	Z	7.086395
7.086395	phone	IH1	7.206122
7.086395	word	IN	7.256009
7.206122	phone	N	7.256009
7.256009	phone	AH0	7.295918
7.256009	word	ATTENTION	7.944444
7.295918	phone	T	7.405669
7.405669	phone	EH1	7.475510
7.475510	phone	N	7.565306
7.565306	phone	SH	7.704989
7.704989	phone	AH0	7.744898
7.744898	phone	N	7.944444
7.944444	phone	sp	8.513152
7.944444	word	sp	8.513152
8.513152	phone	DH	8.553061
8.513152	word	THE	8.592971
8.553061	phone	AH0	8.592971
8.592971	phone	HH	8.712698
8.592971	word	WHOLE	8.862358
8.712698	phone	OW1	8.822449
8.822449	phone	L	8.862358
8.862358	phone	K	8.992063
8.862358	word	COUNTRY	9.381179
8.992063	phone	AH1	9.061905
9.061905	phone	N	9.121769
9.121769	phone	T	9.211565
9.211565	phone	R	9.241497
9.241497	phone	IY0	9.381179
9.381179	phone	IH1	9.480952
9.381179	word	IS	9.610658
9.480952	phone	Z	9.610658
9.610658	word	sp	9.640590
9.610658	phone	sp	9.640590
9.640590	phone	P	9.700454
9.640590	word	PAUSING	10.129478
9.700454	phone	AO1	9.810204
9.810204	phone	Z	9.880045
9.880045	phone	IH0	9.949887
9.949887	phone	NG	10.129478
10.129478	phone	F	10.219274
10.129478	word	FOR	10.339002
10.219274	phone	AO1	10.269161
10.269161	phone	R	10.339002
10.339002	phone	W	10.478685
10.339002	word	ONE	10.628345
10.478685	phone	AH1	10.538549
10.538549	phone	N	10.628345
10.628345	phone	M	10.698186
10.628345	word	MINUTE	10.947619
10.698186	phone	IH1	10.748073
10.748073	phone	N	10.837868
10.837868	phone	AH0	10.867800
10.867800	phone	T	10.947619
10.947619	phone	AH1	11.027438
10.947619	word	OF	11.067347
11.027438	phone	V	11.067347
11.067347	phone	S	11.217007
11.067347	word	SILENCE	11.785714
11.217007	phone	AY1	11.396599
