tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	1.020181
0.012472	phone	sp	1.020181
1.020181	phone	IH1	1.119955
1.020181	word	IN	1.219728
1.119955	phone	N	1.219728
1.219728	phone	T	1.299546
1.219728	word	TWO	1.399320
1.299546	phone	UW1	1.399320
1.399320	phone	TH	1.459184
1.399320	word	THOUSAND	1.768481
1.459184	phone	AW1	1.588889
1.588889	phone	Z	1.668707
1.668707	phone	AH0	1.708617
1.708617	phone	N	1.768481
1.768481	phone	EY1	1.993380
1.768481	word	EIGHT	2.041061
1.993380	phone	T	2.041061
2.041061	phone	sp	3.065533
2.041061	word	sp	3.065533
3.065533	phone	AY1	3.255102
3.065533	word	I	3.255102
3.255102	phone	W	3.324943
3.255102	word	WAS	3.434694
3.324943	phone	AH0	3.364853
3.364853	phone	Z	3.434694
3.434694	phone	W	3.534467
3.434694	word	ONE	3.594331
3.534467	phone	AH1	3.564399
3.564399	phone	N	3.594331
3.594331	phone	AH1	3.624263
3.594331	word	OF	3.694104
3.624263	phone	V	3.694104
3.694104	phone	DH	3.753968
3.694104	word	THOSE	4.163039
3.753968	phone	OW1	3.963492
3.963492	phone	Z	4.163039
4.163039	phone	Y	4.282766
4.163039	word	YOUNG	4.482313
4.282766	phone	AH1	4.352608
4.352608	phone	NG	4.482313
4.482313	phone	P	4.562132
4.482313	word	PEOPLE	5.031066
4.562132	phone	IY1	4.671882
4.671882	phone	P	4.741723
4.741723	phone	AH0	4.771655
4.771655	phone	L	5.031066
5.031066	phone	sp	5.220635
5.031066	word	sp	5.220635
5.220635	phone	HH	5.280499
5.220635	word	WHO	5.380272
5.280499	phone	UW1	5.380272
5.380272	phone	B	5.410204
5.380272	word	BECAME	5.988889
5.410204	phone	IH0	5.460091
5.460091	phone	K	5.629705
5.629705	phone	EY1	5.789342
5.789342	phone	M	5.988889
5.988889	phone	AH0	6.088662
5.988889	word	OBSESSED	6.896825
6.088662	phone	B	6.128571
6.128571	phone	S	6.477778
6.477778	phone	EH1	6.647392
6.647392	phone	S	6.836961
6.836961	phone	T	6.896825
6.896825	word	sp	7.305896
6.896825	phone	sp	7.305896
7.305896	phone	W	7.415646
7.305896	word	WITH	7.495465
7.415646	phone	IH1	7.445578
7.445578	phone	TH	7.495465
7.495465	phone	B	7.595238
7.495465	word	BARACK	8.024263
7.595238	phone	AA0	7.625170
7.625170	phone	R	7.804762
7.804762	phone	AH0	7.884580
7.884580	phone	K	8.024263
8.024263	phone	sp	8.333560
8.024263	word	sp	8.333560
8.333560	phone	OW0	8.443311
8.333560	word	OBAMA	8.792517
8.443311	phone	B	8.513152
8.513152	phone	AA0	8.632880
8.632880	phone	M	8.752608
8.752608	phone	AH0	8.792517
8.792517	phone	sp	9.780272
8.792517	word	sp	9.780272
9.780272	word	{NS}	13.851020
9.780272	phone	ns	13.851020
13.851020	word	sp	14.070522
13.851020	phone	sp	14.070522
14.070522	word	I	14.210204
14.070522	phone	AY1	14.210204
14.210204	word	sp	14.290023
14.210204	phone	sp	14.290023
14.290023	phone	AY1	14.409751
14.290023	word	I	14.409751
14.409751	phone	W	14.459637
14.409751	word	WAS	14.579365
14.459637	phone	AH0	14.499546
14.499546	phone	Z	14.579365
14.579365	word	A	14.619274
14.579365	phone	AH0	14.619274
14.619274	phone	S	14.758957
14.619274	word	SENIOR	15.178005
14.758957	phone	IY1	14.898639
14.898639	phone	N	14.938549
14.938549	phone	Y	15.038322
15.038322	phone	ER0	15.178005
15.178005	phone	IH1	15.267800
15.178005	word	IN	15.347619
15.267800	phone	N	15.347619
15.347619	phone	K	15.447392
15.347619	word	COLLEGE	15.766667
15.447392	phone	AA1	15.527211
15.527211	phone	L	15.636961
15.636961	phone	IH0	15.676871
15.676871	phone	JH	15.766667
15.766667	phone	AE1	15.796599
15.766667	word	AT	15.846485
15.796599	phone	T	15.846485
15.846485	phone	DH	15.876417
15.846485	word	THE	15.906349
15.876417	phone	AH0	15.906349
15.906349	phone	T	16.036054
15.906349	word	TIME	16.415193
16.036054	phone	AY1	16.265533
16.265533	phone	M	16.415193
16.415193	phone	sp	16.694558
16.415193	word	sp	16.694558
16.694558	phone	AE1	16.914059
16.694558	word	AND	17.013832
16.914059	phone	N	16.943991
16.943991	phone	D	17.013832
17.013832	phone	AE1	17.153515
17.013832	word	AFTER	17.303175
17.153515	phone	F	17.213379
17.213379	phone	T	17.243311
17.243311	phone	ER0	17.303175
17.303175	word	I	17.402948
17.303175	phone	AY1	17.402948
17.402948	phone	G	17.452834
