tmin	tier	text	tmax
0.012472	phone	sp	0.109864
0.012472	word	sp	0.109864
0.109864	word	{NS}	1.898186
0.109864	phone	ns	1.898186
1.898186	phone	W	2.017914
1.898186	word	WHERE	2.107710
2.017914	phone	EH1	2.047846
2.047846	phone	R	2.107710
2.107710	phone	AY1	2.257370
2.107710	word	I	2.257370
2.257370	phone	sp	2.287302
2.257370	word	sp	2.287302
2.287302	phone	G	2.387075
2.287302	word	GREW	2.546712
2.387075	phone	R	2.496825
2.496825	phone	UW1	2.546712
2.546712	phone	AH1	2.696372
2.546712	word	UP	2.796145
2.696372	phone	P	2.796145
2.796145	phone	IH1	2.895918
2.796145	word	IN	2.995692
2.895918	phone	N	2.995692
2.995692	phone	DH	3.045578
2.995692	word	THE	3.085488
3.045578	phone	AH0	3.085488
3.085488	phone	S	3.245125
3.085488	word	SOUTH	3.684127
3.245125	phone	AW1	3.654195
3.654195	phone	TH	3.684127
3.684127	phone	sp	3.753968
3.684127	word	sp	3.753968
3.753968	word	{BR}	4.153061
3.753968	phone	br	4.153061
4.153061	word	sp	5.060998
4.153061	phone	sp	5.060998
5.060998	phone	DH	5.150794
5.060998	word	THERE	5.300454
5.150794	phone	EH1	5.240590
5.240590	phone	R	5.300454
5.300454	phone	W	5.370295
5.300454	word	WAS	5.490023
5.370295	phone	AH0	5.450113
5.450113	phone	Z	5.490023
5.490023	phone	AH0	5.549887
5.490023	word	A	5.549887
5.549887	phone	R	5.669615
5.549887	word	RIGHT	5.899093
5.669615	phone	AY1	5.849206
5.849206	phone	T	5.899093
5.899093	phone	W	5.968934
5.899093	word	WAY	6.068707
5.968934	phone	EY1	6.068707
6.068707	phone	T	6.098639
6.068707	word	TO	6.158503
6.098639	phone	IH0	6.158503
6.158503	phone	D	6.238322
6.158503	word	DO	6.397959
6.238322	phone	UW1	6.397959
6.397959	phone	TH	6.487755
6.397959	word	THINGS	7.076417
6.487755	phone	IH1	6.547619
6.547619	phone	NG	7.016553
7.016553	phone	Z	7.076417
7.076417	phone	sp	7.385714
7.076417	word	sp	7.385714
7.385714	phone	AE1	7.485488
7.385714	word	AND	7.515420
7.485488	phone	N	7.515420
7.515420	word	A	7.545351
7.515420	phone	AH0	7.545351
7.545351	phone	R	7.704989
