tmin	tier	text	tmax
0.012472	phone	ns	1.269615
0.012472	word	{NS}	1.269615
1.269615	phone	S	1.489488
1.269615	word	SO	2.237415
1.489488	phone	OW1	2.237415
2.237415	word	sp	3.319480
2.237415	phone	sp	3.319480
3.319480	phone	AH0	3.374830
3.319480	word	ABOUT	3.550906
3.374830	phone	B	3.444671
3.444671	phone	AW1	3.526361
3.526361	phone	T	3.550906
3.550906	phone	AH0	3.644218
3.550906	word	A	3.644218
3.644218	phone	M	3.783184
3.644218	word	MONTH	4.186427
3.783184	phone	AH1	3.873696
3.873696	phone	N	3.983447
3.983447	phone	TH	4.186427
4.186427	phone	IH2	4.292744
4.186427	word	INTO	4.899992
4.292744	phone	N	4.382540
4.382540	phone	T	4.509021
4.509021	phone	UW1	4.899992
4.899992	phone	M	4.968368
4.899992	word	MY	5.134259
4.968368	phone	AY1	5.134259
5.134259	phone	D	5.200680
5.134259	word	DAUGHTER'S	6.100738
5.200680	phone	AO1	5.320408
5.320408	phone	T	5.370295
5.370295	phone	ER0	5.537502
5.537502	phone	Z	6.100290
6.100290	phone	sp	6.553072
6.100738	word	sp	6.553072
6.553072	word	{BR}	6.963328
6.553072	phone	br	6.963328
6.963328	phone	sp	7.103586
6.963328	word	sp	7.103586
7.103586	phone	K	7.206122
7.103586	word	KINDERGARTEN	8.177177
7.206122	phone	IH1	7.236054
7.236054	phone	N	7.305896
7.305896	phone	D	7.355782
7.355782	phone	ER0	7.422838
7.422838	phone	G	7.478942
7.478942	phone	AA2	7.535374
7.535374	phone	R	7.615193
7.615193	phone	T	7.675057
7.675057	phone	AH0	7.724943
7.724943	phone	N	8.177177
8.177177	phone	sp	8.690874
8.177177	word	sp	8.690874
8.690874	phone	ls	8.725938
8.690874	word	{LS}	8.725938
8.725938	phone	sp	8.813315
8.725938	word	sp	8.813315
8.813315	phone	K	8.952105
8.813315	word	CAREER	9.351247
8.952105	phone	ER0	9.071882
9.071882	phone	IH1	9.171655
9.171655	phone	R	9.351247
