tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	0.251930
0.012472	phone	sp	0.251930
0.251930	phone	HH	0.571208
0.251930	word	HELLO	0.824376
0.571208	phone	AH0	0.670983
0.670983	phone	L	0.710893
0.710893	phone	OW1	0.824376
0.824376	word	sp	1.379381
0.824376	phone	sp	1.379381
1.379381	phone	lg	2.115049
1.379381	word	{LG}	2.115049
2.115049	phone	sp	3.175320
2.115049	word	sp	3.175320
3.175320	phone	S	3.255139
3.175320	word	SO	3.285072
3.255139	phone	OW1	3.285072
3.285072	phone	AH0	3.324981
3.285072	word	IT'S	3.434733
3.324981	phone	T	3.404801
3.404801	phone	S	3.434733
3.434733	phone	DH	3.484620
3.434733	word	THE	3.514553
3.484620	phone	AH0	3.514553
3.514553	phone	L	3.614327
3.514553	word	LAST	3.853786
3.614327	phone	AE1	3.714102
3.714102	phone	S	3.793921
3.793921	phone	T	3.853786
3.853786	phone	Y	3.983492
3.853786	word	UNIT	4.193019
3.983492	phone	UW1	4.013425
4.013425	phone	N	4.083267
4.083267	phone	AH0	4.143131
4.143131	phone	T	4.193019
4.193019	phone	AH0	4.272838
4.193019	word	OF	4.322725
4.272838	phone	V	4.322725
4.322725	phone	DH	4.362635
4.322725	word	THE	4.432477
4.362635	phone	IY0	4.432477
4.432477	phone	Y	4.532252
4.432477	word	YEAR	4.661958
4.532252	phone	IH1	4.582139
4.582139	phone	R	4.661958
4.661958	phone	AY1	4.721823
4.661958	word	I'M	4.771710
4.721823	phone	M	4.771710
4.771710	phone	T	4.871484
4.771710	word	TEACHING	5.150853
4.871484	phone	IY1	4.951304
4.951304	phone	CH	5.041101
5.041101	phone	IH0	5.071033
5.071033	phone	NG	5.150853
5.150853	phone	TH	5.290537
5.150853	word	THIRD	5.500063
5.290537	phone	ER1	5.450176
5.450176	phone	D	5.500063
5.500063	phone	G	5.579883
5.500063	word	GRADE	5.939070
5.579883	phone	R	5.639747
5.639747	phone	EY1	5.849273
5.849273	phone	D	5.939070
5.939070	word	sp	6.358123
5.939070	phone	sp	6.358123
6.358123	phone	AE1	6.507784
6.358123	word	AND	6.737265
6.507784	phone	N	6.597581
6.597581	phone	D	6.737265
6.737265	phone	DH	6.787153
6.737265	word	THE	6.817085
6.787153	phone	AH1	6.817085
6.817085	phone	L	6.916859
6.817085	word	LAST	7.166295
6.916859	phone	AE1	7.026611
7.026611	phone	S	7.166295
7.166295	phone	Y	7.256092
7.166295	word	UNIT	7.425709
7.256092	phone	UW1	7.286025
7.286025	phone	N	7.335912
7.335912	phone	AH0	7.385799
7.385799	phone	T	7.425709
7.425709	phone	IH1	7.485573
7.425709	word	IS	7.545438
7.485573	phone	Z	7.545438
7.545438	phone	DH	7.595325
7.545438	word	THE	7.695100
7.595325	phone	IY0	7.695100
7.695100	phone	AO1	7.834784
7.695100	word	OREGON	8.193971
7.834784	phone	R	7.934558
7.934558	phone	AH0	7.964490
7.964490	phone	G	8.064265
8.064265	phone	AH0	8.094197
8.094197	phone	N	8.193971
8.193971	phone	T	8.313701
8.193971	word	TRAIL	8.652934
8.313701	phone	R	8.393520
8.393520	phone	EY1	8.523227
8.523227	phone	L	8.652934
8.652934	word	sp	9.131851
8.652934	phone	sp	9.131851
9.131851	phone	AE1	9.211670
9.131851	word	AND	9.271535
9.211670	phone	N	9.241603
9.241603	phone	D	9.271535
9.271535	phone	AY1	9.311445
9.271535	word	I	9.311445
9.311445	phone	AE1	9.361332
9.311445	word	AM	9.401242
9.361332	phone	M	9.401242
9.401242	phone	P	9.461106
9.401242	word	PREPARED	9.850226
9.461106	phone	R	9.510993
9.510993	phone	IY0	9.540926
9.540926	phone	P	9.650678
9.650678	phone	EH1	9.750452
9.750452	phone	R	9.810317
9.810317	phone	D	9.850226
9.850226	phone	T	9.890136
9.850226	word	TO	9.920068
9.890136	phone	AH0	9.920068
9.920068	phone	HH	10.019843
9.920068	word	HAVE	10.119617
10.019843	phone	AE1	10.059753
10.059753	phone	V	10.119617
10.119617	phone	M	10.189459
10.119617	word	MY	10.239346
10.189459	phone	AY1	10.239346
10.239346	phone	S	10.379031
10.239346	word	STUDENTS	10.837993
10.379031	phone	T	10.408963
10.408963	phone	UW1	10.488782
10.488782	phone	D	10.528692
10.528692	phone	AH0	10.588557
10.588557	phone	N	10.668376
10.668376	phone	T	10.698309
10.698309	phone	S	10.837993
10.837993	word	sp	10.977677
10.837993	phone	sp	10.977677
10.977677	phone	R	11.097406
10.977677	word	REALLY	11.386752
11.097406	phone	IY1	11.237090
