tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	1.918141
0.012472	phone	sp	1.918141
1.918141	word	I	1.997959
1.918141	phone	AY1	1.997959
1.997959	phone	R	2.167574
1.997959	word	REMEMBER	2.387075
2.167574	phone	IY0	2.197506
2.197506	phone	M	2.227438
2.227438	phone	EH1	2.257370
2.257370	phone	M	2.287302
2.287302	phone	B	2.337188
2.337188	phone	ER0	2.387075
2.387075	phone	S	2.516780
2.387075	word	STANDING	2.826077
2.516780	phone	T	2.566667
2.566667	phone	AE1	2.686395
2.686395	phone	N	2.716327
2.716327	phone	D	2.746259
2.746259	phone	IH0	2.776190
2.776190	phone	NG	2.826077
2.826077	phone	IH1	2.905896
2.826077	word	IN	2.945805
2.905896	phone	N	2.945805
2.945805	phone	L	3.045578
2.945805	word	LINE	3.484580
3.045578	phone	AY1	3.384807
3.384807	phone	N	3.484580
3.484580	phone	sp	3.913605
3.484580	word	sp	3.913605
3.913605	phone	AE1	3.993424
3.913605	word	AT	4.023356
3.993424	phone	T	4.023356
4.023356	phone	DH	4.053288
4.023356	word	THE	4.083220
4.053288	phone	AH0	4.083220
4.083220	phone	S	4.202948
4.083220	word	SOCIAL	4.462358
4.202948	phone	OW1	4.322676
4.322676	phone	SH	4.402494
4.402494	phone	AH0	4.432426
4.432426	phone	L	4.462358
4.462358	phone	S	4.562132
4.462358	word	SECURITY	5.001134
4.562132	phone	IH0	4.602041
4.602041	phone	K	4.681859
4.681859	phone	Y	4.731746
4.731746	phone	UH1	4.801587
4.801587	phone	R	4.841497
4.841497	phone	AH0	4.871429
4.871429	phone	T	4.901361
4.901361	phone	IY0	5.001134
5.001134	phone	AO1	5.110884
5.001134	word	OFFICE	5.330385
5.110884	phone	F	5.200680
5.200680	phone	AH0	5.230612
5.230612	phone	S	5.330385
5.330385	phone	W	5.410204
5.330385	word	WITH	5.490023
5.410204	phone	AH0	5.450113
5.450113	phone	DH	5.490023
5.490023	phone	M	5.539909
5.490023	word	MY	5.569841
5.539909	phone	AY1	5.569841
5.569841	phone	M	5.699546
5.569841	word	MOMMA	5.919048
5.699546	phone	AA1	5.809297
5.809297	phone	M	5.869161
5.869161	phone	AH0	5.919048
5.919048	phone	sp	6.637415
5.919048	word	sp	6.637415
6.637415	phone	AY1	6.747166
6.637415	word	I	6.747166
6.747166	phone	W	6.836961
6.747166	word	WAS	6.946712
6.836961	phone	AH0	6.866893
6.866893	phone	Z	6.946712
6.946712	phone	T	7.046485
6.946712	word	TEN	7.156236
7.046485	phone	EH1	7.106349
7.106349	phone	N	7.156236
7.156236	phone	Y	7.226077
7.156236	word	YEARS	7.475510
7.226077	phone	ER0	7.365760
7.365760	phone	Z	7.475510
7.475510	phone	OW1	7.645125
7.475510	word	OLD	7.784807
7.645125	phone	L	7.754875
7.754875	phone	D	7.784807
7.784807	word	sp	8.692744
7.784807	phone	sp	8.692744
8.692744	phone	AE1	8.782540
8.692744	word	AND	8.842404
8.782540	phone	N	8.812472
8.812472	phone	D	8.842404
8.842404	phone	DH	8.872336
8.842404	word	THE	8.932200
8.872336	phone	AH1	8.932200
8.932200	phone	L	9.031973
8.932200	word	LINE	9.381179
9.031973	phone	AY1	9.291383
9.291383	phone	N	9.381179
9.381179	phone	M	9.411111
9.381179	word	MOVED	9.640590
9.411111	phone	UW1	9.540816
9.540816	phone	V	9.590703
9.590703	phone	D	9.640590
9.640590	phone	AH0	9.690476
9.640590	word	AHEAD	9.989796
9.690476	phone	HH	9.800227
9.800227	phone	EH1	9.929932
9.929932	phone	D	9.989796
9.989796	phone	S	10.139456
9.989796	word	SLOWLY	10.598413
10.139456	phone	L	10.239229
10.239229	phone	OW1	10.368934
10.368934	phone	L	10.518594
10.518594	phone	IY0	10.598413
10.598413	phone	sp	11.486395
10.598413	word	sp	11.486395
11.486395	phone	B	11.546259
11.486395	word	BUT	11.606122
11.546259	phone	AH1	11.576190
11.576190	phone	T	11.606122
11.606122	word	I	11.675964
11.606122	phone	AY1	11.675964
11.675964	phone	K	11.755782
11.675964	word	COULD	11.825624
11.755782	phone	UH1	11.785714
11.785714	phone	D	11.825624
11.825624	phone	HH	11.915420
11.825624	word	HEAR	12.045125
11.915420	phone	IH1	11.955329
11.955329	phone	R	12.045125
12.045125	phone	DH	12.114966
12.045125	word	THE	12.154875
12.114966	phone	AH1	12.154875
12.154875	phone	L	12.274603
12.154875	word	LADY	12.494104
12.274603	phone	EY1	12.364399
12.364399	phone	D	12.404308
12.404308	phone	IY0	12.494104
