tmin	tier	text	tmax
0.012472	phone	sp	0.092290
0.012472	word	sp	0.092290
0.092290	word	I	0.281859
0.092290	phone	AY1	0.281859
0.281859	phone	G	0.371655
0.281859	word	GREW	0.571202
0.371655	phone	R	0.541270
0.541270	phone	UW1	0.571202
0.571202	phone	AH1	0.700907
0.571202	word	UP	0.750794
0.700907	phone	P	0.750794
0.750794	phone	EY1	1.119955
0.750794	word	A	1.119955
1.119955	phone	AH1	1.469161
1.119955	word	UH	1.469161
1.469161	word	sp	1.588889
1.469161	phone	sp	1.588889
1.588889	word	A	1.698639
1.588889	phone	AH0	1.698639
1.698639	phone	HH	1.828345
1.698639	word	HUGE	2.077778
1.828345	phone	Y	1.928118
1.928118	phone	UW1	1.968027
1.968027	phone	JH	2.077778
2.077778	phone	F	2.117687
2.077778	word	FAN	2.466893
2.117687	phone	AE1	2.367120
2.367120	phone	N	2.466893
2.466893	phone	AH1	2.666440
2.466893	word	OF	2.706349
2.666440	phone	V	2.706349
2.706349	word	sp	2.846032
2.706349	phone	sp	2.846032
2.846032	phone	AH1	2.985714
2.846032	word	OF	3.015646
2.985714	phone	V	3.015646
3.015646	phone	DH	3.065533
3.015646	word	THE	3.095465
3.065533	phone	AH0	3.095465
3.095465	phone	N	3.175283
3.095465	word	NEW	3.205215
3.175283	phone	UW1	3.205215
3.205215	phone	Y	3.314966
3.205215	word	YORK	3.474603
3.314966	phone	AO1	3.354875
3.354875	phone	R	3.414739
3.414739	phone	K	3.474603
3.474603	phone	Y	3.524490
3.474603	word	YANKEES	3.873696
3.524490	phone	AE1	3.564399
3.564399	phone	NG	3.654195
3.654195	phone	K	3.714059
3.714059	phone	IY0	3.793878
3.793878	phone	Z	3.873696
3.873696	phone	W	3.903628
3.873696	word	WHICH	4.023356
3.903628	phone	IH1	3.933560
3.933560	phone	CH	4.023356
4.023356	phone	W	4.073243
4.023356	word	WHEN	4.153061
4.073243	phone	EH1	4.103175
4.103175	phone	N	4.153061
4.153061	word	I	4.242857
4.153061	phone	AY1	4.242857
4.242857	phone	W	4.272789
4.242857	word	WAS	4.382540
4.272789	phone	AH0	4.302721
4.302721	phone	Z	4.382540
4.382540	phone	V	4.412472
4.382540	word	VERY	4.621995
4.412472	phone	EH1	4.452381
4.452381	phone	R	4.572109
4.572109	phone	IY0	4.621995
4.621995	phone	S	4.751701
4.621995	word	SMALL	5.001134
4.751701	phone	M	4.801587
4.801587	phone	AO1	4.941270
4.941270	phone	L	5.001134
5.001134	phone	IH2	5.031066
5.001134	word	INVOLVED	5.330385
5.031066	phone	N	5.060998
5.060998	phone	V	5.100907
5.100907	phone	AA1	5.220635
5.220635	phone	L	5.260544
5.260544	phone	V	5.300454
5.300454	phone	D	5.330385
5.330385	phone	G	5.380272
5.330385	word	GOING	5.599773
5.380272	phone	OW1	5.460091
5.460091	phone	IH0	5.539909
5.539909	phone	NG	5.599773
