tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	0.471429
0.012472	phone	sp	0.471429
0.471429	word	I	0.690930
0.471429	phone	AY1	0.690930
0.690930	phone	W	0.820635
0.690930	word	WAS	1.090023
0.820635	phone	AH1	0.880499
0.880499	phone	Z	1.090023
1.090023	phone	TH	1.169841
1.090023	word	THREE	1.339456
1.169841	phone	R	1.249660
1.249660	phone	IY1	1.339456
1.339456	phone	M	1.389342
1.339456	word	MONTHS	1.708617
1.389342	phone	AH1	1.499093
1.499093	phone	N	1.558957
1.558957	phone	TH	1.628798
1.628798	phone	S	1.708617
1.708617	phone	sp	1.748526
1.708617	word	sp	1.748526
1.748526	phone	P	1.808390
1.748526	word	PREGNANT	2.247392
1.808390	phone	R	1.868254
1.868254	phone	EH1	1.898186
1.898186	phone	G	1.958050
1.958050	phone	N	2.047846
2.047846	phone	AH0	2.117687
2.117687	phone	N	2.187528
2.187528	phone	T	2.247392
2.247392	phone	W	2.347166
2.247392	word	WITH	2.556689
2.347166	phone	IH1	2.377098
2.377098	phone	TH	2.556689
2.556689	phone	AY0	2.606576
2.556689	word	IDENTICAL	3.135374
2.606576	phone	D	2.656463
2.656463	phone	EH1	2.746259
2.746259	phone	N	2.806122
2.806122	phone	IH0	2.846032
2.846032	phone	K	2.955782
2.955782	phone	AH0	2.985714
2.985714	phone	L	3.135374
3.135374	phone	T	3.285034
3.135374	word	TWIN	3.534467
3.285034	phone	W	3.334921
3.334921	phone	IH1	3.384807
3.384807	phone	N	3.534467
3.534467	phone	B	3.564399
3.534467	word	BOYS	4.190004
3.564399	phone	OY1	3.873696
3.873696	phone	Z	4.190004
4.190004	phone	sp	5.070975
4.190004	word	sp	5.070975
5.070975	phone	W	5.210658
5.070975	word	WHEN	5.460091
5.210658	phone	EH1	5.370295
5.370295	phone	N	5.460091
5.460091	phone	M	5.519955
5.460091	word	MY	5.599773
5.519955	phone	AY1	5.599773
5.599773	phone	HH	5.709524
5.599773	word	HUSBAND	6.048753
5.709524	phone	AH1	5.789342
5.789342	phone	Z	5.889116
5.889116	phone	B	5.948980
5.948980	phone	AH0	5.978912
5.978912	phone	N	6.018821
6.018821	phone	D	6.048753
6.048753	phone	R	6.138549
6.048753	word	ROSS	6.358050
6.138549	phone	AA1	6.248299
6.248299	phone	S	6.358050
6.358050	phone	AH0	6.407937
6.358050	word	AND	6.467800
6.407937	phone	N	6.437868
6.437868	phone	D	6.467800
6.467800	phone	AY1	6.647392
6.467800	word	I	6.647392
6.647392	phone	L	6.797052
6.647392	word	LEARNED	7.236054
6.797052	phone	ER1	7.016553
7.016553	phone	N	7.156236
7.156236	phone	D	7.236054
7.236054	word	sp	7.714966
7.236054	phone	sp	7.714966
7.714966	phone	DH	7.854649
7.714966	word	THAT	8.124036
7.854649	phone	AE1	8.064172
8.064172	phone	T	8.124036
8.124036	phone	HH	8.163946
8.124036	word	ONE	8.423356
8.163946	phone	W	8.313605
8.313605	phone	AH1	8.353515
8.353515	phone	N	8.423356
8.423356	phone	AH0	8.473243
8.423356	word	OF	8.533107
8.473243	phone	V	8.533107
8.533107	phone	DH	8.602948
8.533107	word	THEM	8.762585
8.602948	phone	EH1	8.662812
8.662812	phone	M	8.762585
8.762585	phone	HH	8.842404
8.762585	word	HAD	8.912245
8.842404	phone	AE1	8.882313
8.882313	phone	D	8.912245
8.912245	phone	AH0	8.962132
8.912245	word	A	8.962132
8.962132	phone	F	9.111791
8.962132	word	FATAL	9.550794
9.111791	phone	EY1	9.241497
9.241497	phone	T	9.281406
9.281406	phone	AH0	9.311338
9.311338	phone	L	9.550794
9.550794	word	sp	9.600680
9.550794	phone	sp	9.600680
9.600680	phone	B	9.630612
9.600680	word	BIRTH	9.880045
9.630612	phone	ER1	9.760317
9.760317	phone	TH	9.880045
9.880045	phone	D	9.929932
9.880045	word	DEFECT	10.428798
9.929932	phone	IY1	10.019728
10.019728	phone	F	10.129478
10.129478	phone	EH0	10.209297
10.209297	phone	K	10.358957
10.358957	phone	T	10.428798
10.428798	word	sp	12.643764
10.428798	phone	sp	12.643764
12.643764	phone	AA1	12.743537
12.643764	word	OUR	12.803401
12.743537	phone	R	12.803401
12.803401	phone	S	12.943084
12.803401	word	SON	13.102721
12.943084	phone	AH1	13.012925
13.012925	phone	N	13.102721
13.102721	phone	T	13.212472
13.102721	word	THOMAS	13.501814
13.212472	phone	AA1	13.282313
13.282313	phone	M	13.372109
13.372109	phone	AH0	13.421995
13.421995	phone	S	13.501814
13.501814	phone	HH	13.571655
