tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	0.980272
0.012472	phone	sp	0.980272
0.980272	phone	IH1	1.070068
0.980272	word	IT'S	1.269615
1.070068	phone	T	1.169841
1.169841	phone	S	1.269615
1.269615	phone	N	1.429252
1.269615	word	NINETEEN	2.037868
1.429252	phone	AY1	1.588889
1.588889	phone	N	1.648753
1.648753	phone	T	1.758503
1.758503	phone	IY1	1.878231
1.878231	phone	N	2.037868
2.037868	phone	S	2.157596
2.037868	word	SEVENTY	2.536735
2.157596	phone	EH1	2.237415
2.237415	phone	V	2.307256
2.307256	phone	AH0	2.347166
2.347166	phone	N	2.407029
2.407029	phone	T	2.476871
2.476871	phone	IY0	2.536735
2.536735	phone	N	2.656463
2.536735	word	NINE	3.205215
2.656463	phone	AY1	2.935828
2.935828	phone	N	3.205215
3.205215	phone	sp	3.644218
3.205215	word	sp	3.644218
3.644218	phone	AE1	3.773923
3.644218	word	AND	3.903628
3.773923	phone	N	3.853741
3.853741	phone	D	3.903628
3.903628	phone	S	4.123129
3.903628	word	SUMMER	4.532200
4.123129	phone	AH1	4.202948
4.202948	phone	M	4.442404
4.442404	phone	ER0	4.532200
4.532200	phone	sp	4.612018
4.532200	word	sp	4.612018
4.612018	phone	IH1	4.751701
4.612018	word	IN	4.791610
4.751701	phone	N	4.791610
4.791610	phone	N	4.881406
4.791610	word	NEW	4.961224
4.881406	phone	Y	4.911338
4.911338	phone	UW1	4.961224
4.961224	phone	Y	5.100907
4.961224	word	YORK	5.300454
5.100907	phone	AO1	5.210658
5.210658	phone	R	5.240590
5.240590	phone	K	5.300454
5.300454	phone	S	5.470068
5.300454	word	CITY	5.799320
5.470068	phone	IH1	5.549887
5.549887	phone	T	5.589796
5.589796	phone	IY0	5.799320
5.799320	phone	sp	6.697279
5.799320	word	sp	6.697279
6.697279	phone	DH	6.737188
6.697279	word	THAT	6.846939
6.737188	phone	AH0	6.817007
6.817007	phone	T	6.846939
6.846939	phone	W	6.906803
6.846939	word	WAS	7.206122
6.906803	phone	AH0	6.946712
6.946712	phone	Z	7.206122
7.206122	phone	TH	7.265986
7.206122	word	THIRTY	7.595238
7.265986	phone	ER1	7.395692
7.395692	phone	D	7.505442
7.505442	phone	IY0	7.595238
7.595238	phone	EY1	7.744898
7.595238	word	EIGHT	7.784807
7.744898	phone	T	7.784807
7.784807	phone	Y	7.984354
7.784807	word	YEARS	8.213832
7.984354	phone	IH1	8.074150
8.074150	phone	R	8.104082
8.104082	phone	Z	8.213832
8.213832	phone	AH0	8.273696
8.213832	word	AGO	8.523129
8.273696	phone	G	8.373469
8.373469	phone	OW1	8.523129
8.523129	phone	sp	9.351247
8.523129	word	sp	9.351247
9.351247	phone	W	9.451020
9.351247	word	WHEN	9.650567
9.451020	phone	EH1	9.490930
9.490930	phone	N	9.650567
9.650567	phone	AY1	9.870068
9.650567	word	I	9.870068
9.870068	phone	W	9.959864
9.870068	word	WAS	10.139456
9.959864	phone	AH0	10.009751
10.009751	phone	Z	10.139456
10.139456	phone	B	10.179365
10.139456	word	BEING	10.508617
10.179365	phone	IY1	10.289116
10.289116	phone	IH0	10.348980
10.348980	phone	NG	10.508617
10.508617	phone	IH1	10.638322
10.508617	word	INTERVIEWED	11.301480
10.638322	phone	N	10.668254
10.668254	phone	T	10.797959
10.797959	phone	ER0	10.837868
10.837868	phone	V	10.897732
10.897732	phone	Y	11.077324
11.077324	phone	UW2	11.147166
11.147166	phone	D	11.301480
11.301480	word	sp	11.556236
11.301480	phone	sp	11.556236
11.556236	phone	F	11.606122
11.556236	word	FOR	11.735541
11.606122	phone	AO1	11.686216
11.686216	phone	R	11.735541
11.735541	word	A	11.855556
11.735541	phone	AH0	11.855556
11.855556	phone	P	11.895465
11.855556	word	PROMOTION	12.593878
11.895465	phone	ER0	12.015193
12.015193	phone	M	12.144898
12.144898	phone	OW1	12.274603
12.274603	phone	SH	12.404308
12.404308	phone	AH0	12.474150
12.474150	phone	N	12.593878
12.593878	phone	sp	12.943084
12.593878	word	sp	12.943084
12.943084	phone	F	13.002948
12.943084	word	FROM	13.142630
13.002948	phone	R	13.032880
13.032880	phone	AH1	13.062812
13.062812	phone	M	13.142630
13.142630	phone	S	13.332200
13.142630	word	SECRETARY	14.020635
13.332200	phone	EH1	13.382086
13.382086	phone	K	13.501814
13.501814	phone	R	13.541723
13.541723	phone	AH0	13.571655
13.571655	phone	T	13.681406
13.681406	phone	EH2	13.811111
13.811111	phone	R	13.851020
13.851020	phone	IY0	14.020635
