tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	0.631066
0.012472	phone	sp	0.631066
0.631066	phone	JH	0.720862
0.631066	word	JENNY	0.890476
0.720862	phone	EH1	0.770748
0.770748	phone	N	0.830612
0.830612	phone	IY0	0.890476
0.890476	phone	SH	1.040136
0.890476	word	SHOWED	1.169841
1.040136	phone	OW1	1.139909
1.139909	phone	D	1.169841
1.169841	phone	AH1	1.239683
1.169841	word	UP	1.329478
1.239683	phone	P	1.329478
1.329478	phone	T	1.359410
1.329478	word	TO	1.389342
1.359410	phone	AH0	1.389342
1.389342	phone	M	1.469161
1.389342	word	MY	1.529025
1.469161	phone	AY1	1.529025
1.529025	phone	W	1.638776
1.529025	word	WELCOME	1.888209
1.638776	phone	EH1	1.698639
1.698639	phone	L	1.728571
1.728571	phone	K	1.788435
1.788435	phone	AH0	1.818367
1.818367	phone	M	1.888209
1.888209	phone	HH	1.928118
1.888209	word	HOME	2.107710
1.928118	phone	OW1	2.047846
2.047846	phone	M	2.107710
2.107710	phone	P	2.147619
2.107710	word	PARTY	2.367120
2.147619	phone	AA1	2.247392
2.247392	phone	R	2.287302
2.287302	phone	T	2.317234
2.317234	phone	IY0	2.367120
2.367120	phone	IH1	2.407029
2.367120	word	IN	2.476871
2.407029	phone	N	2.476871
2.476871	phone	F	2.576644
2.476871	word	PHILADELPHIA	3.195238
2.576644	phone	IH2	2.616553
2.616553	phone	L	2.716327
2.716327	phone	AH0	2.746259
2.746259	phone	D	2.796145
2.796145	phone	EH1	2.836054
2.836054	phone	L	2.925850
2.925850	phone	F	3.045578
3.045578	phone	IY0	3.155329
3.155329	phone	AH0	3.195238
3.195238	phone	sp	3.833787
3.195238	word	sp	3.833787
3.833787	phone	HH	3.873696
3.833787	word	HUNDREDS	4.472336
3.873696	phone	AH1	3.943537
3.943537	phone	N	4.033333
4.033333	phone	D	4.083220
4.083220	phone	ER0	4.202948
4.202948	phone	D	4.292744
4.292744	phone	Z	4.472336
4.472336	phone	AH0	4.552154
4.472336	word	ATTENDED	4.981179
4.552154	phone	T	4.641950
4.641950	phone	EH1	4.731746
4.731746	phone	N	4.811565
4.811565	phone	D	4.891383
4.891383	phone	AH0	4.941270
4.941270	phone	D	4.981179
4.981179	word	sp	5.410204
4.981179	phone	sp	5.410204
5.410204	phone	B	5.470068
5.410204	word	BUT	5.549887
5.470068	phone	AH1	5.519955
5.519955	phone	T	5.549887
5.549887	phone	M	5.629705
5.549887	word	MY	5.739456
5.629705	phone	AY1	5.739456
5.739456	phone	AY1	5.929025
5.739456	word	EYES	5.988889
5.929025	phone	Z	5.988889
5.988889	phone	K	6.068707
5.988889	word	KEPT	6.248299
6.068707	phone	EH1	6.148526
6.148526	phone	P	6.218367
6.218367	phone	T	6.248299
6.248299	phone	F	6.298186
6.248299	word	FINDING	6.557596
6.298186	phone	AY1	6.407937
6.407937	phone	N	6.437868
6.437868	phone	D	6.467800
6.467800	phone	IH0	6.497732
6.497732	phone	NG	6.557596
6.557596	phone	DH	6.587528
6.557596	word	THEIR	6.647392
6.587528	phone	EH1	6.617460
6.617460	phone	R	6.647392
6.647392	phone	W	6.747166
6.647392	word	WAY	6.817007
6.747166	phone	EY1	6.817007
6.817007	phone	B	6.896825
6.817007	word	BACK	7.056463
6.896825	phone	AE1	6.986621
6.986621	phone	K	7.056463
7.056463	phone	T	7.146259
7.056463	word	TO	7.186168
7.146259	phone	AH0	7.186168
7.186168	phone	HH	7.256009
7.186168	word	HERS	7.655102
7.256009	phone	ER0	7.445578
7.445578	phone	Z	7.655102
7.655102	word	sp	8.253741
7.655102	phone	sp	8.253741
8.253741	phone	IH1	8.343537
8.253741	word	IT	8.353246
8.343537	phone	T	8.353246
8.353246	phone	HH	8.354890
8.353246	word	HAD	8.413379
8.354890	phone	AE1	8.386130
8.386130	phone	D	8.413379
8.413379	phone	B	8.473243
8.413379	word	BEEN	8.592971
8.473243	phone	IH1	8.513152
8.513152	phone	N	8.592971
8.592971	phone	TH	8.732653
8.592971	word	THREE	8.952154
8.732653	phone	R	8.812472
8.812472	phone	IY1	8.952154
8.952154	phone	Y	9.041950
8.952154	word	YEARS	9.421088
9.041950	phone	IH1	9.161678
9.161678	phone	R	9.191610
9.191610	phone	Z	9.421088
9.421088	word	sp	9.441043
9.421088	phone	sp	9.441043
9.441043	phone	S	9.560771
9.441043	word	SINCE	9.690476
9.560771	phone	IH1	9.590703
9.590703	phone	N	9.620635
9.620635	phone	S	9.690476
9.690476	phone	W	9.720408
