tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	0.531293
0.012472	phone	sp	0.531293
0.531293	phone	OW1	0.680952
0.531293	word	OVER	0.822732
0.680952	phone	V	0.710884
0.710884	phone	ER0	0.822732
0.822732	phone	DH	0.885210
0.822732	word	THE	1.034830
0.885210	phone	AH0	1.034830
1.034830	phone	Y	1.249660
1.034830	word	YEARS	1.708617
1.249660	phone	ER0	1.469161
1.469161	phone	Z	1.708617
1.708617	phone	AY1	1.978005
1.708617	word	I'VE	2.007937
1.978005	phone	V	2.007937
2.007937	phone	HH	2.167574
2.007937	word	HAD	2.237415
2.167574	phone	AE1	2.197506
2.197506	phone	D	2.237415
2.237415	phone	AH0	2.277324
2.237415	word	A	2.277324
2.277324	phone	N	2.456916
2.277324	word	NUMBER	2.925850
2.456916	phone	AH1	2.536735
2.536735	phone	M	2.656463
2.656463	phone	B	2.686395
2.686395	phone	ER0	2.925850
2.925850	phone	AH0	2.975737
2.925850	word	OF	3.035601
2.975737	phone	V	3.035601
3.035601	phone	sp	3.135374
3.035601	word	sp	3.135374
3.135374	phone	P	3.225170
3.135374	word	PARENTING	3.664172
3.225170	phone	EH1	3.304989
3.304989	phone	R	3.394785
3.394785	phone	AH0	3.424717
3.424717	phone	N	3.454649
3.454649	phone	T	3.524490
3.524490	phone	IH0	3.574376
3.574376	phone	NG	3.664172
3.664172	phone	TH	3.793878
3.664172	word	THEORIES	4.412472
3.793878	phone	IH1	3.953515
3.953515	phone	R	4.013379
4.013379	phone	IY0	4.232880
4.232880	phone	Z	4.412472
4.412472	phone	IH1	4.512245
4.412472	word	IN	4.562132
4.512245	phone	N	4.562132
4.562132	phone	DH	4.592063
4.562132	word	THE	4.621995
4.592063	phone	AH0	4.621995
4.621995	phone	HH	4.741723
4.621995	word	HOPES	4.971202
4.741723	phone	OW1	4.851474
4.851474	phone	P	4.911338
4.911338	phone	S	4.971202
4.971202	phone	AH0	5.011111
4.971202	word	OF	5.060998
5.011111	phone	V	5.060998
5.060998	phone	AH0	5.100907
5.060998	word	ACHIEVING	5.709524
5.100907	phone	CH	5.280499
5.280499	phone	IY1	5.410204
5.410204	phone	V	5.450113
5.450113	phone	IH0	5.509977
5.509977	phone	NG	5.709524
5.709524	phone	M	5.809297
5.709524	word	MY	5.958957
5.809297	phone	AY1	5.958957
5.958957	phone	P	6.098639
5.958957	word	PARENTING	6.507710
6.098639	phone	EH1	6.178458
6.178458	phone	R	6.248299
6.248299	phone	AH0	6.278231
6.278231	phone	N	6.318141
6.318141	phone	T	6.368027
6.368027	phone	IH0	6.397959
6.397959	phone	NG	6.507710
6.507710	phone	G	6.577551
6.507710	word	GOALS	7.166759
6.577551	phone	OW1	6.767120
6.767120	phone	L	6.966667
6.966667	phone	Z	7.166759
7.166759	phone	sp	8.114059
7.166759	word	sp	8.114059
8.114059	phone	DH	8.193878
8.114059	word	THESE	8.592971
8.193878	phone	IY1	8.423356
8.423356	phone	Z	8.592971
8.592971	phone	TH	8.622902
8.592971	word	THEORIES	8.962132
8.622902	phone	IH1	8.732653
8.732653	phone	R	8.782540
8.782540	phone	IY0	8.892290
8.892290	phone	Z	8.962132
8.962132	word	ARE	9.002041
8.962132	phone	ER0	9.002041
9.002041	phone	N	9.101814
9.002041	word	NOT	9.291383
9.101814	phone	AA1	9.231519
9.231519	phone	T	9.291383
9.291383	phone	B	9.341270
9.291383	word	BASED	9.590703
9.341270	phone	EY1	9.460998
9.460998	phone	S	9.540816
9.540816	phone	T	9.590703
9.590703	phone	AA1	9.700454
9.590703	word	ON	9.820181
9.700454	phone	N	9.820181
9.820181	phone	D	9.850113
9.820181	word	DATA	10.219274
9.850113	phone	EY1	10.029705
10.029705	phone	T	10.189342
10.189342	phone	AH0	10.219274
10.219274	word	sp	10.987528
10.219274	phone	sp	10.987528
10.987528	phone	AE1	11.087302
10.987528	word	AND	11.147166
11.087302	phone	N	11.117234
11.117234	phone	D	11.147166
11.147166	word	I	11.406576
11.147166	phone	AY1	11.406576
11.406576	phone	F	11.616100
11.406576	word	FREQUENTLY	12.264626
11.616100	phone	R	11.656009
11.656009	phone	IY1	11.725850
11.725850	phone	K	11.805669
11.805669	phone	W	11.835601
11.835601	phone	AH0	11.875510
11.875510	phone	N	11.965306
11.965306	phone	T	11.995238
11.995238	phone	L	12.075057
12.075057	phone	IY0	12.264626
12.264626	phone	AH0	12.304535
12.264626	word	ABANDON	12.853288
12.304535	phone	B	12.384354
12.384354	phone	AE1	12.583900
12.583900	phone	N	12.653741
