tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	1.010204
0.012472	phone	sp	1.010204
1.010204	phone	S	1.209751
1.010204	word	SO	1.608844
1.209751	phone	OW1	1.608844
1.608844	word	sp	2.945805
1.608844	phone	sp	2.945805
2.945805	phone	AY1	3.055556
2.945805	word	I	3.055556
3.055556	phone	G	3.205215
3.055556	word	GRADUATED	4.033333
3.205215	phone	R	3.245125
3.245125	phone	AE1	3.334921
3.334921	phone	JH	3.474603
3.474603	phone	UW0	3.524490
3.524490	phone	EY2	3.604308
3.604308	phone	T	3.684127
3.684127	phone	AH0	3.843764
3.843764	phone	D	4.033333
4.033333	phone	sp	5.051020
4.033333	word	sp	5.051020
5.051020	phone	AE1	5.140816
5.051020	word	AT	5.180726
5.140816	phone	T	5.180726
5.180726	word	A	5.240590
5.180726	phone	AH0	5.240590
5.240590	phone	V	5.410204
5.240590	word	VERY	5.839229
5.410204	phone	EH1	5.579819
5.579819	phone	R	5.609751
5.609751	phone	IY0	5.839229
5.839229	phone	G	5.899093
5.839229	word	GOOD	6.108617
5.899093	phone	UH1	6.018821
6.018821	phone	D	6.108617
6.108617	phone	T	6.198413
6.108617	word	TIME	6.667347
6.198413	phone	AY1	6.457823
6.457823	phone	M	6.667347
6.667347	word	sp	7.256009
6.667347	phone	sp	7.256009
7.256009	phone	AH0	7.285941
7.256009	word	IT	7.345805
7.285941	phone	T	7.345805
7.345805	phone	W	7.375737
7.345805	word	WAS	7.525397
7.375737	phone	AH1	7.425624
7.425624	phone	Z	7.525397
7.525397	phone	IH1	7.585261
7.525397	word	IN	7.744898
7.585261	phone	N	7.744898
7.744898	phone	sp	7.834694
7.744898	word	sp	7.834694
7.834694	phone	T	7.884580
7.834694	word	TWO	8.014286
7.884580	phone	UW1	8.014286
8.014286	phone	TH	8.134014
8.014286	word	THOUSAND	8.503175
8.134014	phone	AW1	8.253741
8.253741	phone	Z	8.353515
8.353515	phone	AH0	8.393424
8.393424	phone	N	8.503175
8.503175	phone	AE1	8.573016
8.503175	word	AND	8.682766
8.573016	phone	N	8.642857
8.642857	phone	D	8.682766
8.682766	phone	EY1	9.071882
8.682766	word	EIGHT	9.151701
9.071882	phone	T	9.151701
9.151701	phone	sp	9.818020
9.151701	word	sp	9.818020
9.818020	word	{LG}	16.654649
9.818020	phone	lg	16.654649
16.654649	word	sp	17.502721
16.654649	phone	sp	17.502721
17.502721	phone	DH	17.562585
17.502721	word	THE	17.732200
17.562585	phone	AH1	17.732200
17.732200	phone	P	17.792063
17.732200	word	PEAK	18.061451
17.792063	phone	IY1	17.991610
17.991610	phone	K	18.061451
18.061451	phone	AH0	18.171202
18.061451	word	OF	18.251020
18.171202	phone	V	18.251020
18.251020	phone	R	18.340816
18.251020	word	RECESSION	19.069161
18.340816	phone	AH0	18.380726
18.380726	phone	S	18.540363
18.540363	phone	EH1	18.680045
18.680045	phone	SH	18.839683
18.839683	phone	AH0	18.899546
18.899546	phone	N	19.069161
19.069161	phone	sp	19.298639
19.069161	word	sp	19.298639
19.298639	phone	lg	20.263374
19.298639	word	{LG}	20.263374
20.263374	word	sp	20.964853
20.263374	phone	sp	20.964853
20.964853	phone	AE1	21.124490
20.964853	word	AND	21.383900
21.124490	phone	N	21.264172
21.264172	phone	D	21.383900
21.383900	word	sp	21.633333
21.383900	phone	sp	21.633333
21.633333	word	I	21.753061
21.633333	phone	AY1	21.753061
21.753061	phone	W	21.812925
21.753061	word	WAS	21.922676
21.812925	phone	AH0	21.852834
21.852834	phone	Z	21.922676
21.922676	phone	AA1	21.992517
21.922676	word	ON	22.042404
21.992517	phone	N	22.042404
22.042404	phone	DH	22.072336
22.042404	word	THE	22.112245
22.072336	phone	AH0	22.112245
22.112245	phone	S	22.261905
22.112245	word	STUDENT	22.641043
22.261905	phone	T	22.311791
22.311791	phone	UW1	22.401587
22.401587	phone	D	22.461451
22.461451	phone	AH0	22.521315
22.521315	phone	N	22.601134
22.601134	phone	T	22.641043
22.641043	phone	W	22.740816
22.641043	word	WIZ	23.030159
22.740816	phone	IH1	22.810658
22.810658	phone	Z	23.030159
23.030159	phone	V	23.100000
23.030159	word	VISA	23.618821
23.100000	phone	IY1	23.229705
23.229705	phone	Z	23.349433
23.349433	phone	AH0	23.618821
23.618821	word	sp	24.666440
23.618821	phone	sp	24.666440
24.666440	phone	AE1	24.766213
24.666440	word	AND	24.846032
24.766213	phone	N	24.816100
24.816100	phone	D	24.846032
24.846032	word	I	25.005669
24.846032	phone	AY1	25.005669
