tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	0.241950
0.012472	phone	sp	0.241950
0.241950	word	UH	0.601134
0.241950	phone	AH1	0.601134
0.601134	word	sp	1.239683
0.601134	phone	sp	1.239683
1.239683	phone	S	1.369388
1.239683	word	SO	1.399320
1.369388	phone	OW1	1.399320
1.399320	phone	AY1	1.459184
1.399320	word	I	1.459184
1.459184	phone	HH	1.489116
1.459184	word	HAVE	1.618821
1.489116	phone	AE1	1.519048
1.519048	phone	V	1.618821
1.618821	word	A	1.678685
1.618821	phone	AH0	1.678685
1.678685	phone	B	1.778458
1.678685	word	BAND	2.127664
1.778458	phone	AE1	2.037868
2.037868	phone	N	2.077778
2.077778	phone	D	2.127664
2.127664	phone	K	2.217460
2.127664	word	CALLED	2.407029
2.217460	phone	AO1	2.347166
2.347166	phone	L	2.377098
2.377098	phone	D	2.407029
2.407029	phone	DH	2.436961
2.407029	word	THE	2.476871
2.436961	phone	AH0	2.476871
2.476871	phone	K	2.696372
2.476871	word	COUP	3.004544
2.696372	phone	UW1	3.004544
3.004544	phone	sp	3.554422
3.004544	word	sp	3.554422
3.554422	phone	AE1	4.143084
3.554422	word	AND	4.272789
4.143084	phone	N	4.222902
4.222902	phone	D	4.272789
4.272789	phone	ns	5.629705
4.272789	word	{NS}	5.629705
5.629705	phone	W	5.699546
5.629705	word	WE'VE	5.769388
5.699546	phone	IY1	5.729478
5.729478	phone	V	5.769388
5.769388	phone	B	5.819274
5.769388	word	BEEN	5.909070
5.819274	phone	IH1	5.859184
5.859184	phone	N	5.909070
5.909070	phone	ER0	6.088662
5.909070	word	AROUND	6.358050
6.088662	phone	AW1	6.328118
6.328118	phone	N	6.358050
6.358050	phone	F	6.477778
6.358050	word	FOR	6.697279
6.477778	phone	AO1	6.647392
6.647392	phone	R	6.697279
6.697279	phone	T	6.826984
6.697279	word	TWENTY	7.086395
6.826984	phone	W	6.956689
6.956689	phone	EH1	6.986621
6.986621	phone	N	7.016553
7.016553	phone	IY0	7.086395
7.086395	phone	S	7.216100
7.086395	word	SOMETHING	7.525397
7.216100	phone	AH1	7.275964
7.275964	phone	M	7.335828
7.335828	phone	TH	7.415646
7.415646	phone	IH0	7.485488
7.485488	phone	NG	7.525397
7.525397	phone	Y	7.714966
7.525397	word	YEARS	8.084127
7.714966	phone	ER0	7.874603
7.874603	phone	Z	8.084127
8.084127	phone	TH	8.114059
8.084127	word	THROUGH	8.313605
8.114059	phone	R	8.143991
8.143991	phone	UW1	8.313605
8.313605	phone	AH0	8.353515
8.313605	word	A	8.353515
8.353515	phone	L	8.423356
8.353515	word	LOT	8.592971
8.423356	phone	AA1	8.553061
8.553061	phone	T	8.592971
8.592971	phone	AH1	8.702721
8.592971	word	OF	8.812472
8.702721	phone	V	8.812472
8.812472	word	sp	9.341270
8.812472	phone	sp	9.341270
9.341270	phone	T	9.411111
9.341270	word	TECHNOLOGY	10.186903
9.411111	phone	EH0	9.490930
9.490930	phone	K	9.580726
9.580726	phone	N	9.620635
9.620635	phone	AA1	9.770295
9.770295	phone	L	9.830159
9.830159	phone	IH0	9.890023
9.890023	phone	JH	9.989796
9.989796	phone	IY0	10.186903
10.186903	phone	AH0	10.289116
10.186903	word	AND	10.482235
10.289116	phone	N	10.418113
10.418113	phone	D	10.482235
10.482235	word	sp	11.755782
10.482235	phone	sp	11.755782
11.755782	phone	JH	11.895465
11.755782	word	GENTRIFICATION	12.613832
11.895465	phone	EH2	11.925397
11.925397	phone	N	11.955329
11.955329	phone	T	12.015193
12.015193	phone	R	12.045125
12.045125	phone	AH0	12.075057
12.075057	phone	F	12.154875
12.154875	phone	IH0	12.184807
12.184807	phone	K	12.284580
12.284580	phone	EY1	12.384354
12.384354	phone	SH	12.534014
12.534014	phone	AH0	12.583900
12.583900	phone	N	12.613832
12.613832	phone	T	12.693651
12.613832	word	TYPE	12.893197
12.693651	phone	AY1	12.863265
12.863265	phone	P	12.893197
12.893197	phone	CH	13.022902
12.893197	word	CHANGES	13.612164
13.022902	phone	EY1	13.182540
13.182540	phone	N	13.212472
13.212472	phone	JH	13.302268
13.302268	phone	AH0	13.412018
13.412018	phone	Z	13.612164
13.612164	phone	sp	14.260091
13.612164	word	sp	14.260091
14.260091	phone	AH1	14.704132
14.260091	word	UH	14.704132
14.704132	phone	sp	15.674191
14.704132	word	sp	15.674191
15.674191	phone	AE1	15.796599
15.674191	word	AND	16.105896
15.796599	phone	N	15.946259
15.946259	phone	D	16.105896
16.105896	phone	DH	16.165760
