tmin	tier	text	tmax
0	phone	?	0.012472
0	word	?	0.012472
0.012472	word	sp	0.281859
0.012472	phone	sp	0.281859
0.281859	phone	W	0.391610
0.281859	word	ONCE	0.730839
0.391610	phone	AH1	0.451474
0.451474	phone	N	0.551247
0.551247	phone	S	0.730839
0.730839	word	sp	1.179819
0.730839	phone	sp	1.179819
1.179819	phone	AY1	1.299546
1.179819	word	I	1.299546
1.299546	phone	TH	1.499093
1.299546	word	THREW	1.678685
1.499093	phone	R	1.568934
1.568934	phone	UW1	1.678685
1.678685	phone	AH0	1.748526
1.678685	word	A	1.748526
1.748526	phone	P	1.888209
1.748526	word	PLAYGROUND	2.297279
1.888209	phone	L	1.918141
1.918141	phone	EY1	1.997959
1.997959	phone	G	2.077778
2.077778	phone	R	2.187528
2.187528	phone	AW2	2.237415
2.237415	phone	N	2.297279
2.297279	phone	B	2.357143
2.297279	word	BALL	2.626531
2.357143	phone	AO1	2.566667
2.566667	phone	L	2.626531
2.626531	phone	sp	2.885941
2.626531	word	sp	2.885941
2.885941	phone	AE1	2.985714
2.885941	word	AT	3.035601
2.985714	phone	T	3.035601
3.035601	phone	DH	3.065533
3.035601	word	THE	3.095465
3.065533	phone	AH0	3.095465
3.095465	phone	HH	3.324943
3.095465	word	HEAD	3.574376
3.324943	phone	EH1	3.454649
3.454649	phone	D	3.574376
3.574376	phone	sp	3.734014
3.574376	word	sp	3.734014
3.734014	phone	AH1	3.823810
3.734014	word	OF	3.883673
3.823810	phone	V	3.883673
3.883673	phone	AH0	3.923583
3.883673	word	A	3.923583
3.923583	phone	B	4.053288
3.923583	word	BOY	4.392517
4.053288	phone	OY1	4.392517
4.392517	phone	sp	4.552154
4.392517	word	sp	4.552154
4.552154	phone	HH	4.592063
4.552154	word	WHO	4.631973
4.592063	phone	UW1	4.631973
4.631973	phone	W	4.711791
4.631973	word	WAS	4.831519
4.711791	phone	AH0	4.741723
4.741723	phone	Z	4.831519
4.831519	phone	R	4.871429
4.831519	word	REPEATEDLY	5.390249
4.871429	phone	AH0	4.901361
4.901361	phone	P	5.060998
5.060998	phone	IY1	5.130839
5.130839	phone	T	5.170748
5.170748	phone	AH0	5.200680
5.200680	phone	D	5.280499
5.280499	phone	L	5.320408
5.320408	phone	IY0	5.390249
5.390249	phone	D	5.529932
5.390249	word	DUNKING	5.929025
5.529932	phone	AH0	5.579819
5.579819	phone	NG	5.669615
5.669615	phone	K	5.729478
5.729478	phone	IH0	5.779365
5.779365	phone	NG	5.929025
5.929025	phone	sp	5.968934
5.929025	word	sp	5.968934
5.968934	phone	M	6.048753
5.968934	word	MY	6.148526
6.048753	phone	AY1	6.148526
6.148526	phone	Y	6.238322
6.148526	word	YOUNG	6.378005
6.238322	phone	AH1	6.298186
6.298186	phone	NG	6.378005
6.378005	phone	S	6.537642
6.378005	word	SON	6.777098
6.537642	phone	AH1	6.677324
6.677324	phone	N	6.777098
6.777098	word	sp	6.807029
6.777098	phone	sp	6.807029
6.807029	phone	AH1	6.916780
6.807029	word	UNDERWATER	7.395692
6.916780	phone	N	6.946712
6.946712	phone	D	6.996599
6.996599	phone	ER0	7.066440
7.066440	phone	W	7.216100
7.216100	phone	AO2	7.285941
7.285941	phone	T	7.345805
7.345805	phone	ER0	7.395692
7.395692	word	{NS}	8.622902
7.395692	phone	ns	8.622902
8.622902	phone	B	8.662812
8.622902	word	BEFORE	9.002041
8.662812	phone	AH0	8.702721
8.702721	phone	F	8.842404
8.842404	phone	AO1	8.972109
8.972109	phone	R	9.002041
9.002041	phone	AY1	9.111791
9.002041	word	I	9.111791
9.111791	phone	TH	9.241497
9.111791	word	THREW	9.351247
9.241497	phone	R	9.271429
9.271429	phone	UW1	9.351247
9.351247	phone	DH	9.401134
9.351247	word	THE	9.441043
9.401134	phone	AH0	9.441043
9.441043	phone	B	9.520862
9.441043	word	BALL	9.810204
9.520862	phone	AO1	9.720408
9.720408	phone	L	9.810204
9.810204	word	sp	10.079592
9.810204	phone	sp	10.079592
10.079592	phone	AY1	10.229252
10.079592	word	I	10.229252
10.229252	phone	SH	10.388889
10.229252	word	SHOUTED	10.668254
10.388889	phone	AW1	10.508617
10.508617	phone	T	10.558503
10.558503	phone	AH0	10.618367
10.618367	phone	D	10.668254
10.668254	phone	AE1	10.698186
10.668254	word	AT	10.748073
10.698186	phone	T	10.748073
10.748073	phone	HH	10.827891
10.748073	word	HIM	10.927664
10.827891	phone	IH1	10.857823
10.857823	phone	M	10.927664
10.927664	phone	T	10.967574
10.927664	word	TO	10.997506
